City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
80,Tiksi,71.6872,128.8694,24.98,light snow,91,100,29.17,RU
81,Birao,10.2849,22.7882,73.72,light rain,90,87,4.85,CF
82,Saskylakh,71.9167,114.0833,25.5,light snow,94,100,15.43,RU
83,Walvis Bay,-22.9575,14.5053,58.15,clear sky,82,5,5.75,NA
84,Kavieng,-2.5744,150.7967,81.28,broken clouds,67,66,14.58,PG
85,Arraial Do Cabo,-22.9661,-42.0278,82.26,light rain,65,75,11.5,BR
86,Tuktoyaktuk,69.4541,-133.0374,46.4,broken clouds,66,75,16.11,CA
87,Lithakia,37.7167,20.8333,67.28,clear sky,64,0,4.61,GR
88,Hami,42.8,93.45,54.36,clear sky,27,0,14.67,CN
89,Puerto Ayora,-0.7393,-90.3518,78.76,overcast clouds,92,85,10.0,EC
90,Georgetown,5.4112,100.3354,79.23,few clouds,88,20,3.44,MY
91,Skibbereen,51.55,-9.2667,57.11,clear sky,75,0,12.44,IE
92,Zhigansk,66.7697,123.3711,20.8,overcast clouds,88,100,9.82,RU
93,Hobart,-42.8794,147.3294,48.25,few clouds,69,17,14.97,AU
94,Saldanha,-33.0117,17.9442,59.05,few clouds,81,12,17.27,ZA
95,Gat,31.61,34.7642,75.88,clear sky,100,1,5.06,IL
96,Atar,20.5169,-13.0499,98.65,clear sky,14,0,10.36,MR
97,Muisne,0.6,-80.0333,76.84,overcast clouds,78,99,12.88,EC
98,Vila Velha,-20.3297,-40.2925,80.55,broken clouds,78,75,5.75,BR
99,Ila,63.4305,10.3705,46.42,broken clouds,87,65,1.01,NO
100,Barcelos,41.5388,-8.6151,70.92,few clouds,75,19,3.4,PT
101,Chokurdakh,70.6333,147.9167,21.61,light snow,93,100,23.24,RU
102,San Vicente,-26.6167,-54.1333,69.46,few clouds,41,12,4.76,AR
103,Sao Filipe,14.8961,-24.4956,79.59,few clouds,85,24,7.0,CV
104,Dikson,73.5069,80.5464,33.26,light snow,99,100,14.99,RU
105,Okoneshnikovo,54.8377,75.0834,53.51,overcast clouds,55,100,10.54,RU
106,San Carlos,9.6612,-68.5827,82.13,broken clouds,81,80,2.91,VE
107,Bulungu,-4.55,18.6,75.18,overcast clouds,73,100,2.55,CD
108,Kimbe,-5.5502,150.1429,73.53,overcast clouds,90,100,4.0,PG
109,High Level,58.5169,-117.136,53.71,broken clouds,66,75,2.3,CA
110,Ketchikan,55.3422,-131.6461,52.27,fog,100,100,9.22,US
111,Seymchan,62.8833,152.4333,5.32,overcast clouds,99,97,2.66,RU
112,Buala,-8.145,159.5921,80.55,overcast clouds,75,97,9.86,SB
113,Cockburn Town,21.4612,-71.1419,83.26,clear sky,73,6,17.0,TC
114,Rafai,4.95,23.9167,69.03,overcast clouds,99,100,1.16,CF
115,Bilma,18.6853,12.9164,89.1,clear sky,18,4,7.43,NE
116,Bethel,41.3712,-73.414,77.18,clear sky,52,0,10.36,US
117,Gimli,50.6336,-96.9907,46.42,scattered clouds,46,25,14.97,CA
118,Tateyama,34.9833,139.8667,58.1,overcast clouds,82,100,8.99,JP
119,Chuy,-33.6971,-53.4616,66.65,clear sky,46,0,11.72,UY
120,Hithadhoo,-0.6,73.0833,80.53,overcast clouds,79,94,14.94,MV
121,Pecos,31.4229,-103.4932,77.83,broken clouds,43,75,6.91,US
122,Natal,-5.795,-35.2094,84.85,broken clouds,74,75,17.27,BR
123,Thinadhoo,0.5333,72.9333,80.4,overcast clouds,80,100,16.96,MV
124,Brigantine,39.4101,-74.3646,78.21,clear sky,53,0,10.36,US
125,Alyangula,-13.8483,136.4192,79.59,broken clouds,82,66,5.95,AU
126,Progreso,21.2833,-89.6667,91.11,clear sky,63,8,13.2,MX
127,Sal Rei,16.1833,-22.9167,84.4,broken clouds,74,75,21.85,CV
128,Tual,-5.6667,132.75,82.56,overcast clouds,78,98,8.16,ID
129,Mustafakemalpasa,40.0353,28.4117,64.45,light rain,81,87,6.93,TR
130,Tadine,-21.55,167.8833,72.81,scattered clouds,84,41,19.84,NC
131,Ahipara,-35.1667,173.1667,51.03,scattered clouds,74,49,7.23,NZ
132,Ust-Omchug,61.15,149.6333,3.9,overcast clouds,98,97,2.24,RU
133,Champerico,14.3,-91.9167,93.74,few clouds,70,18,5.5,GT
134,Jiangkou,25.4872,119.1986,71.47,overcast clouds,79,100,14.76,CN
135,Tazovskiy,67.4667,78.7,34.43,light snow,99,100,11.63,RU
136,Northam,51.0333,-4.2167,56.61,clear sky,84,3,17.13,GB
137,Thompson,55.7435,-97.8558,50.16,overcast clouds,57,100,12.66,CA
138,Atuona,-9.8,-139.0333,76.15,light rain,80,28,20.27,PF
139,San Jose,37.3394,-121.895,85.53,haze,64,0,8.05,US
140,Nenjiang,49.1833,125.2167,33.62,overcast clouds,48,97,2.01,CN
141,Mayumba,-3.432,10.6554,76.35,overcast clouds,84,99,6.76,GA
142,Ewa Beach,21.3156,-158.0072,82.02,clear sky,70,0,8.05,US
143,Lompoc,34.6391,-120.4579,73.54,mist,100,75,6.91,US
144,Batagay,67.6333,134.6333,10.85,overcast clouds,91,100,4.12,RU
145,Tasiilaq,65.6145,-37.6368,33.96,overcast clouds,93,100,12.1,GL
146,Te Anau,-45.4167,167.7167,36.1,broken clouds,90,75,1.83,NZ
147,Faya,18.3851,42.4509,68.11,overcast clouds,30,98,8.25,SA
148,Broome,42.2506,-75.833,56.17,overcast clouds,81,100,14.97,US
149,Along,28.1667,94.7667,70.72,overcast clouds,97,89,1.19,IN
150,Monrovia,6.3005,-10.7969,78.01,broken clouds,82,62,7.16,LR
151,Arona,28.0996,-16.681,70.32,few clouds,80,20,9.22,ES
152,Torbay,47.6666,-52.7314,58.28,overcast clouds,95,100,10.36,CA
153,Waipawa,-41.4122,175.5153,38.19,clear sky,80,0,5.37,NZ
154,Katsuura,35.1333,140.3,60.8,overcast clouds,88,100,8.39,JP
155,Skeldon,5.8833,-57.1333,86.47,clear sky,61,5,9.75,GY
156,Bathsheba,13.2167,-59.5167,84.81,scattered clouds,74,40,16.11,BB
157,Lomovka,53.9194,58.3672,42.35,overcast clouds,83,100,10.07,RU
158,Cartagena Del Chaira,1.3349,-74.8429,88.97,overcast clouds,53,92,0.81,CO
159,Eyl,7.9803,49.8164,78.6,broken clouds,77,68,20.56,SO
160,Ancud,-41.8697,-73.8203,48.11,clear sky,59,7,18.57,CL
161,Leningradskiy,69.3833,178.4167,24.55,overcast clouds,71,91,21.88,RU
162,Union,40.6334,-74.2663,79.9,clear sky,46,0,13.8,US
163,Morondava,-20.2833,44.2833,75.7,scattered clouds,87,27,5.17,MG
164,Sivas,39.7916,37.0019,56.03,thunderstorm with light rain,82,75,6.91,TR
165,Esperance,-33.8667,121.9,47.26,scattered clouds,82,44,9.37,AU
166,Verkhniy Uslon,55.7701,48.9823,50.22,overcast clouds,81,100,12.01,RU
167,Mukono,0.3533,32.7553,73.15,overcast clouds,83,95,0.69,UG
168,Acajutla,13.5928,-89.8275,87.37,broken clouds,55,63,4.63,SV
169,Camacha,33.0833,-16.3333,69.22,scattered clouds,73,40,16.11,PT
170,Mar Del Plata,-38.0023,-57.5575,75.22,clear sky,33,0,13.8,AR
171,Jasper,37.2001,-94.3502,69.67,clear sky,40,0,10.36,US
172,Fort Nelson,58.8053,-122.7002,51.39,broken clouds,58,75,4.61,CA
173,Robertson,36.5167,-86.8667,77.05,clear sky,60,0,10.36,US
174,Aksu,41.1231,80.2644,58.57,broken clouds,31,59,5.53,CN
175,Batagay-Alyta,67.8006,130.4114,17.47,overcast clouds,82,100,7.36,RU
176,Hambantota,6.1241,81.1185,77.34,few clouds,88,20,4.61,LK
177,Chamrajnagar,11.9167,76.95,66.54,broken clouds,93,65,2.21,IN
178,Sitka,57.0531,-135.33,53.49,few clouds,87,20,4.61,US
179,Saint-Philippe,-21.3585,55.7679,69.39,scattered clouds,76,40,13.44,RE
180,Cayenne,4.9333,-52.3333,91.44,clear sky,49,0,11.5,GF
181,Beloha,-25.1667,45.05,74.03,clear sky,56,0,4.41,MG
182,Muncar,-8.4333,114.3333,75.97,light rain,93,100,1.14,ID
183,South River,40.4465,-74.386,79.88,clear sky,47,4,3.0,US
184,Garowe,8.4054,48.4845,78.13,clear sky,66,3,22.79,SO
185,San Cristobal,7.7669,-72.225,82.58,overcast clouds,63,100,6.62,VE
186,Amapa,1.0,-52.0,96.8,broken clouds,27,84,9.06,BR
187,Mawlaik,23.6333,94.4167,74.86,broken clouds,95,70,0.89,MM
188,Quatre Cocos,-20.2078,57.7625,71.71,few clouds,69,13,17.63,MU
189,Rust,48.2667,7.7333,65.21,scattered clouds,80,40,2.3,DE
190,Iquique,-20.2208,-70.1431,60.84,scattered clouds,67,33,3.42,CL
191,Biltine,14.5333,20.9167,90.95,overcast clouds,20,100,6.76,TD
192,Parati,-23.2178,-44.7131,86.76,scattered clouds,56,28,1.43,BR
193,Lebu,-37.6167,-73.65,49.96,overcast clouds,91,100,18.19,CL
194,Rabo De Peixe,37.8,-25.5833,69.31,few clouds,78,20,5.75,PT
195,Longyearbyen,78.2186,15.6401,37.24,light intensity drizzle rain,87,100,11.5,SJ
196,Yulara,-25.2406,130.9889,59.54,scattered clouds,39,40,17.22,AU
197,Ishigaki,24.3448,124.1572,78.93,broken clouds,83,75,20.71,JP
198,Inverell,-29.7833,151.1167,58.1,overcast clouds,95,98,4.0,AU
199,Avesta,60.1455,16.1679,55.99,overcast clouds,79,100,15.64,SE
200,Wardha,20.75,78.6167,73.13,overcast clouds,97,92,8.61,IN
201,Filadelfia,39.9523,-75.1638,79.43,clear sky,45,0,12.66,US
202,Datong,40.0936,113.2914,48.81,scattered clouds,60,25,8.75,CN
203,Mayo,38.8876,-76.5119,81.1,clear sky,50,0,1.99,US
204,Taltal,-25.4,-70.4833,64.56,few clouds,65,24,4.76,CL
205,Dryden,49.7833,-92.7503,41.29,few clouds,52,20,13.8,CA
206,Rabat,33.9911,-6.8401,75.27,overcast clouds,60,100,4.61,MA
207,Linxia,35.6003,103.2064,52.21,overcast clouds,50,100,5.14,CN
208,Isangel,-19.55,169.2667,75.88,broken clouds,83,55,12.62,VU
